ticker,date,open,high,low,close
AR,2020-08-21,3.213,3.213,2.575,2.79
AR,2020-08-22,2.79,3.863,2.744,3.36
AR,2020-08-23,3.36,3.414,3.186,3.414
AR,2020-08-24,3.414,4.336,3.414,4.336
AR,2020-08-25,4.336,4.336,2.743,3.958
AR,2020-08-26,3.958,5.096,3.922,4.978
AR,2020-08-27,4.978,5.584,4.75,5.169
AR,2020-08-28,5.169,5.768,5.169,5.621
AR,2020-08-29,5.621,7.59,5.594,7.141
AR,2020-08-30,7.141,7.48,6.444,6.548
AR,2020-08-31,6.548,6.686,5.36,5.748
AR,2020-09-01,5.748,7.687,5.748,6.798
AR,2020-09-02,6.798,6.839,4.98,6.491
AR,2020-09-03,6.491,6.491,4.959,4.959
AR,2020-09-04,4.959,6.49,4.959,6.28
AR,2020-09-05,6.28,6.355,4.466,4.644
AR,2020-09-06,4.644,5.715,3.547,5.002
AR,2020-09-07,5.002,5.679,4.348,4.733
AR,2020-09-08,4.733,4.742,4.232,4.478
AR,2020-09-09,4.478,5.467,4.306,4.84
AR,2020-09-10,4.84,4.935,4.586,4.605
AR,2020-09-11,4.605,4.628,4.169,4.471
AR,2020-09-12,4.471,4.597,4.2,4.44
AR,2020-09-13,4.44,4.96,4.185,4.319
AR,2020-09-14,4.319,5.126,4.27,4.407
AR,2020-09-15,4.407,4.681,3.865,3.865
AR,2020-09-16,3.865,4.072,3.508,3.725
AR,2020-09-17,3.725,3.785,3.349,3.552
AR,2020-09-18,3.552,3.632,3.549,3.566
AR,2020-09-19,3.566,3.651,3.566,3.642
AR,2020-09-20,3.642,3.648,3.561,3.561
AR,2020-09-21,3.561,3.561,2.921,2.949
AR,2020-09-22,2.949,3.048,2.651,2.929
AR,2020-09-23,2.929,3.153,2.846,3.057
AR,2020-09-24,3.057,3.208,2.826,2.876
AR,2020-09-25,2.876,2.876,2.863,2.863
AR,2020-09-26,2.863,2.874,2.863,2.874
AR,2020-09-27,2.874,2.886,2.874,2.886
AR,2020-09-28,2.886,5.05,2.815,3.731
AR,2020-09-29,3.731,5.204,3.731,4.756
AR,2020-09-30,4.756,5.913,3.927,4.809
AR,2020-10-01,4.809,4.809,4.145,4.181
AR,2020-10-02,4.181,4.432,3.702,4.428
AR,2020-10-03,4.428,4.465,4.149,4.172
AR,2020-10-04,4.172,4.224,4.153,4.167
AR,2020-10-05,4.167,4.31,4.118,4.133
AR,2020-10-06,4.133,4.133,3.76,3.76
AR,2020-10-07,3.76,3.899,3.553,3.582
AR,2020-10-08,3.582,4.808,3.582,4.025
AR,2020-10-09,4.025,4.073,3.842,4.063
AR,2020-10-10,4.063,5.651,3.843,5.392
AR,2020-10-11,5.392,5.688,4.574,4.7
AR,2020-10-12,4.7,5.754,4.667,4.768
AR,2020-10-13,4.768,4.898,4.644,4.802
AR,2020-10-14,4.802,4.868,4.217,4.303
AR,2020-10-15,4.303,4.417,3.627,3.805
AR,2020-10-16,3.805,3.805,3.14,3.14
AR,2020-10-17,3.14,3.328,3.126,3.134
AR,2020-10-18,3.134,3.395,3.134,3.335
AR,2020-10-19,3.335,3.406,2.979,3.141
AR,2020-10-20,2.746,2.75,2.508,2.509
AR,2020-10-21,2.509,2.944,2.507,2.622
AR,2020-10-22,2.622,2.733,2.597,2.701
AR,2020-10-23,2.701,2.993,2.677,2.919
AR,2020-10-24,2.919,2.996,2.791,2.799
AR,2020-10-25,2.799,3.087,2.787,2.924
AR,2020-10-26,2.924,3.01,2.748,2.748
AR,2020-10-27,2.748,2.75,2.498,2.552
AR,2020-10-28,2.552,2.556,2.295,2.387
AR,2020-10-29,2.387,2.473,2.224,2.383
AR,2020-10-30,2.383,2.429,2.151,2.274
AR,2020-10-31,2.274,2.274,2.151,2.175
AR,2020-11-01,2.175,2.379,2.147,2.321
AR,2020-11-02,2.321,2.325,1.935,1.987
AR,2020-11-03,1.987,2.002,1.682,1.846
AR,2020-11-04,1.846,1.847,1.683,1.71
AR,2020-11-05,1.71,1.934,1.696,1.807
AR,2020-11-06,1.807,2.442,1.793,2.27
AR,2020-11-07,2.27,2.59,2.053,2.195
AR,2020-11-08,2.195,2.312,2.111,2.242
AR,2020-11-09,2.242,2.343,2.071,2.179
AR,2020-11-10,2.179,2.425,2.146,2.351
AR,2020-11-11,2.351,2.452,2.206,2.209
AR,2020-11-12,2.209,2.244,2.15,2.184
AR,2020-11-13,2.184,2.366,2.167,2.284
AR,2020-11-14,2.284,2.411,2.229,2.29
AR,2020-11-15,2.29,2.345,2.231,2.289
AR,2020-11-16,2.289,2.778,2.286,2.697
AR,2020-11-17,2.697,2.772,2.403,2.628
AR,2020-11-18,2.628,2.706,2.374,2.536
AR,2020-11-19,2.536,2.546,2.305,2.417
AR,2020-11-20,2.417,2.609,2.394,2.606
AR,2020-11-21,2.606,2.69,2.508,2.62
AR,2020-11-22,2.62,2.71,2.402,2.599
AR,2020-11-23,2.599,2.727,2.536,2.658
AR,2020-11-24,2.658,2.797,2.349,2.484
AR,2020-11-25,2.484,2.853,2.399,2.579
AR,2020-11-26,2.579,2.644,2.216,2.315
AR,2020-11-27,2.315,2.421,2.192,2.268
AR,2020-11-28,2.268,2.435,2.218,2.283
AR,2020-11-29,2.283,2.379,2.248,2.287
AR,2020-11-30,2.287,2.372,2.283,2.355
AR,2020-12-01,2.355,2.448,2.136,2.197
AR,2020-12-02,2.197,2.282,2.031,2.234
AR,2020-12-03,2.234,2.272,2.142,2.251
AR,2020-12-04,2.251,2.377,2.079,2.079
AR,2020-12-05,2.079,2.387,2.073,2.322
AR,2020-12-06,2.322,2.356,2.205,2.254
AR,2020-12-07,2.254,2.31,2.21,2.235
AR,2020-12-08,2.235,2.245,2.024,2.053
AR,2020-12-09,2.053,2.237,2.037,2.176
AR,2020-12-10,2.176,2.254,2.118,2.252
AR,2020-12-11,2.252,2.298,2.129,2.268
AR,2020-12-12,2.268,2.391,2.207,2.27
AR,2020-12-13,2.27,2.369,2.262,2.291
AR,2020-12-14,2.291,2.303,2.182,2.262
AR,2020-12-15,2.262,2.38,2.136,2.32
AR,2020-12-16,2.32,2.357,2.203,2.291
AR,2020-12-17,2.291,2.334,2.221,2.265
AR,2020-12-18,2.265,2.294,2.207,2.279
AR,2020-12-19,2.279,2.786,2.192,2.595
AR,2020-12-20,2.595,2.799,2.453,2.496
AR,2020-12-21,2.496,2.833,2.441,2.613
AR,2020-12-22,2.613,2.67,2.248,2.559
AR,2020-12-23,2.559,2.569,2.228,2.297
AR,2020-12-24,2.297,2.533,2.194,2.367
AR,2020-12-25,2.367,2.562,2.357,2.447
AR,2020-12-26,2.447,2.463,2.304,2.316
AR,2020-12-27,2.316,2.372,2.231,2.247
AR,2020-12-28,2.247,2.382,2.221,2.355
AR,2020-12-29,2.355,2.366,2.196,2.263
AR,2020-12-30,2.263,2.493,2.259,2.432
AR,2020-12-31,2.432,2.631,2.402,2.622
AR,2021-01-01,2.622,2.766,2.534,2.621
AR,2021-01-02,2.621,2.81,2.569,2.671
AR,2021-01-03,2.671,2.803,2.457,2.575
AR,2021-01-04,2.575,2.736,2.49,2.689
AR,2021-01-05,2.689,2.943,2.639,2.823
AR,2021-01-06,2.823,3.154,2.772,3.103
AR,2021-01-07,3.103,3.162,2.82,2.857
AR,2021-01-08,2.857,3.074,2.608,2.781
AR,2021-01-09,2.781,3.366,2.593,3.199
AR,2021-01-10,3.199,4.131,3.188,4.096
AR,2021-01-11,4.096,4.131,3.087,3.655
AR,2021-01-12,3.655,4.308,3.364,4.107
AR,2021-01-13,4.107,4.772,4.03,4.395
AR,2021-01-14,4.395,4.722,4.164,4.241
AR,2021-01-15,4.241,4.458,3.845,4.113
AR,2021-01-16,4.113,4.405,3.898,4.103
AR,2021-01-17,4.103,4.739,4.048,4.633
AR,2021-01-18,4.633,4.972,4.522,4.632
AR,2021-01-19,4.632,5.337,4.5,4.804
AR,2021-01-20,4.804,5.132,4.702,5.002
AR,2021-01-21,5.002,5.044,4.514,4.531
AR,2021-01-22,4.531,5.183,4.219,5.172
AR,2021-01-23,5.172,5.715,4.816,5.455
AR,2021-01-24,5.455,6.267,5.416,6.078
AR,2021-01-25,6.078,6.275,5.462,5.517
AR,2021-01-26,5.517,5.681,4.862,5.552
AR,2021-01-27,5.552,5.665,4.805,5.086
AR,2021-01-28,5.086,6.156,4.993,5.682
AR,2021-01-29,5.682,5.818,5.026,5.256
AR,2021-01-30,5.256,5.304,4.908,5.002
AR,2021-01-31,5.002,5.022,4.63,4.809
AR,2021-02-01,4.809,5.377,4.662,5.022
AR,2021-02-02,5.022,6.085,5.0,5.67
AR,2021-02-03,5.67,5.833,5.366,5.679
AR,2021-02-04,5.679,5.867,5.137,5.522
AR,2021-02-05,5.522,5.753,5.313,5.469
AR,2021-02-06,5.469,5.519,4.896,4.921
AR,2021-02-07,4.921,5.517,4.681,5.486
AR,2021-02-08,5.486,5.503,5.136,5.492
AR,2021-02-09,5.492,5.943,5.364,5.936
AR,2021-02-10,5.936,6.943,5.913,6.552
AR,2021-02-11,6.552,7.208,6.53,7.04
AR,2021-02-12,7.04,7.062,6.562,6.892
AR,2021-02-13,6.892,7.734,6.83,7.209
AR,2021-02-14,7.209,7.499,6.678,6.878
AR,2021-02-15,6.878,7.662,5.719,7.221
AR,2021-02-16,7.221,8.056,7.055,7.953
AR,2021-02-17,7.953,8.054,7.499,7.837
AR,2021-02-18,7.837,7.881,7.308,7.7
AR,2021-02-19,7.7,7.782,6.666,6.879
AR,2021-02-20,6.879,7.483,6.556,7.285
AR,2021-02-21,7.285,7.715,7.08,7.265
AR,2021-02-22,7.265,7.412,5.924,6.758
AR,2021-02-23,6.758,6.816,5.599,6.738
AR,2021-02-24,6.738,12.67,6.624,11.42
AR,2021-02-25,11.42,14.53,9.038,11.04
AR,2021-02-26,11.04,12.46,9.947,12.05
AR,2021-02-27,12.05,12.18,10.42,11.04
AR,2021-02-28,11.04,11.5,8.64,9.271
AR,2021-03-01,9.271,10.94,8.769,10.82
AR,2021-03-02,10.82,12.36,10.21,12.19
AR,2021-03-03,12.19,16.88,11.89,16.53
AR,2021-03-04,16.53,17.63,13.63,14.43
AR,2021-03-05,14.43,15.83,13.41,14.72
AR,2021-03-06,14.72,14.86,13.38,13.73
AR,2021-03-07,13.73,14.34,12.92,13.47
AR,2021-03-08,13.47,14.2,12.4,14.15
AR,2021-03-09,14.15,15.17,13.57,14.42
AR,2021-03-10,14.42,15.19,13.72,15.18
AR,2021-03-11,15.18,16.88,14.28,14.97
AR,2021-03-12,14.97,15.05,13.82,14.39
AR,2021-03-13,14.39,15.65,13.73,15.02
AR,2021-03-14,15.02,15.52,14.46,14.7
AR,2021-03-15,14.7,14.99,12.91,13.45
AR,2021-03-16,13.45,13.57,12.11,13.07
AR,2021-03-17,13.07,14.62,12.82,14.35
AR,2021-03-18,14.35,19.05,13.87,17.4
AR,2021-03-19,17.4,21.06,16.58,19.24
AR,2021-03-20,19.24,43.91,19.03,22.91
AR,2021-03-21,22.91,23.23,19.54,21.27
AR,2021-03-22,21.27,24.86,19.63,22.56
AR,2021-03-23,22.56,24.46,19.81,21.46
AR,2021-03-24,21.46,21.65,19.41,19.87
AR,2021-03-25,19.87,23.07,19.03,20.48
AR,2021-03-26,20.48,26.65,20.48,26.54
AR,2021-03-27,26.54,29.69,24.85,29.69
AR,2021-03-28,29.69,31.09,25.63,26.99
AR,2021-03-29,26.99,29.87,26.99,28.87
AR,2021-03-30,28.87,29.26,26.15,27.96
AR,2021-03-31,27.96,33.21,27.04,32.68
AR,2021-04-01,32.68,34.21,30.11,31.35
AR,2021-04-02,31.35,32.91,28.56,28.91
AR,2021-04-03,28.91,29.49,25.26,28.23
AR,2021-04-04,28.23,28.89,26.6,27.19
AR,2021-04-05,27.19,28.54,26.96,27.54
AR,2021-04-06,27.54,31.08,27.42,29.77
AR,2021-04-07,29.77,31.11,25.99,29.04
AR,2021-04-08,29.04,32.8,28.47,32.31
AR,2021-04-09,32.31,32.36,29.95,30.07
AR,2021-04-10,30.07,30.42,27.96,29.22
AR,2021-04-11,29.22,29.76,27.53,27.67
AR,2021-04-12,27.67,27.93,25.91,26.68
AR,2021-04-13,26.68,27.69,26.23,26.69
AR,2021-04-14,26.69,26.78,22.64,24.88
AR,2021-04-15,24.88,37.19,24.01,28.4
AR,2021-04-16,28.4,29.12,25.5,26.09
AR,2021-04-17,26.09,28.32,24.48,25.46
AR,2021-04-18,25.46,25.51,20.37,24.16
AR,2021-04-19,24.16,26.99,23.44,23.84
AR,2021-04-20,23.84,23.84,21.61,23.62
AR,2021-04-21,23.62,24.27,22.48,22.95
AR,2021-04-22,22.95,22.98,20.54,21.92
AR,2021-04-23,21.92,22.08,16.81,19.76
AR,2021-04-24,19.76,26.02,19.52,24.76
AR,2021-04-25,24.76,28.91,23.03,27.44
AR,2021-04-26,27.44,30.89,27.2,28.8
AR,2021-04-27,28.8,32.1,28.58,30.18
AR,2021-04-28,30.18,30.92,28.76,29.21
AR,2021-04-29,29.21,30.28,28.59,29.41
AR,2021-04-30,29.41,31.94,28.88,29.68
AR,2021-05-01,29.68,30.64,28.96,29.19
AR,2021-05-02,29.19,29.19,26.64,26.77
AR,2021-05-03,26.77,28.26,26.66,27.27
AR,2021-05-04,27.27,27.44,25.05,25.11
AR,2021-05-05,25.11,28.82,24.69,27.52
AR,2021-05-06,27.52,27.52,26.04,26.19
AR,2021-05-07,26.19,26.87,25.47,25.49
AR,2021-05-08,25.49,26.3,23.63,24.24
AR,2021-05-09,24.24,26.28,23.83,23.97
AR,2021-05-10,23.97,25.07,22.95,23.93
AR,2021-05-11,23.93,29.1,23.92,28.9
AR,2021-05-12,28.9,31.16,28.02,29.05
AR,2021-05-13,29.05,31.13,25.04,25.52
AR,2021-05-14,25.52,46.29,25.52,29.34
AR,2021-05-15,29.34,32.11,26.34,26.96
AR,2021-05-16,26.96,28.01,23.12,24.19
AR,2021-05-17,24.19,24.24,21.41,22.72
AR,2021-05-18,22.72,25.89,21.96,22.7
AR,2021-05-19,22.7,22.98,12.69,17.07
AR,2021-05-20,17.07,19.01,15.94,18.71
AR,2021-05-21,18.71,20.81,13.7,15.38
AR,2021-05-22,15.38,15.57,12.7,14.3
AR,2021-05-23,14.3,14.98,9.849,13.26
AR,2021-05-24,13.26,15.72,12.42,15.17
AR,2021-05-25,15.17,15.51,12.92,14.59
AR,2021-05-26,14.59,18.67,14.53,17.48
AR,2021-05-27,17.48,17.49,15.28,15.56
AR,2021-05-28,15.56,15.61,13.09,14.58
AR,2021-05-29,14.58,15.98,12.09,12.75
AR,2021-05-30,12.75,15.05,12.25,14.16
AR,2021-05-31,14.16,15.27,12.58,15.24
AR,2021-06-01,15.24,17.11,14.63,15.4
AR,2021-06-02,15.4,17.46,15.08,16.89
AR,2021-06-03,16.89,18.69,15.91,18.64
AR,2021-06-04,18.64,19.21,15.23,15.89
AR,2021-06-05,15.89,17.23,15.02,15.37
AR,2021-06-06,15.37,16.35,15.2,15.77
AR,2021-06-07,15.77,22.66,15.51,17.24
AR,2021-06-08,17.24,20.91,15.59,17.04
AR,2021-06-09,17.04,18.69,15.62,18.03
AR,2021-06-10,18.03,19.28,16.52,16.67
AR,2021-06-11,16.67,16.91,15.11,15.48
AR,2021-06-12,15.48,15.61,13.96,14.66
AR,2021-06-13,14.66,17.04,13.59,15.7
AR,2021-06-14,15.7,16.64,15.21,16.09
AR,2021-06-15,16.09,16.46,15.75,15.94
AR,2021-06-16,15.94,15.96,14.69,14.97
AR,2021-06-17,14.97,16.76,14.91,16.17
AR,2021-06-18,16.17,17.42,15.09,15.68
AR,2021-06-19,15.68,17.82,15.39,17.41
AR,2021-06-20,17.41,18.9,15.56,18.33
AR,2021-06-21,18.33,18.37,13.35,13.59
AR,2021-06-22,13.59,14.65,10.9,11.97
AR,2021-06-23,11.97,13.21,11.2,11.78
AR,2021-06-24,11.78,12.65,11.0,11.42
AR,2021-06-25,11.42,11.74,9.155,9.476
AR,2021-06-26,9.476,9.727,8.303,8.941
AR,2021-06-27,8.941,10.4,8.899,10.28
AR,2021-06-28,10.28,10.43,9.671,10.02
AR,2021-06-29,10.02,11.37,10.0,10.69
AR,2021-06-30,10.69,10.75,9.887,10.39
AR,2021-07-01,10.39,12.26,10.09,10.84
AR,2021-07-02,10.84,11.03,9.972,10.58
AR,2021-07-03,10.58,10.91,10.11,10.59
AR,2021-07-04,10.59,11.33,10.37,10.97
AR,2021-07-05,10.97,11.18,10.44,10.64
AR,2021-07-06,10.64,11.42,10.61,11.12
AR,2021-07-07,11.12,12.83,11.07,11.79
AR,2021-07-08,11.79,12.35,10.63,10.89
AR,2021-07-09,10.89,11.16,10.41,11.02
AR,2021-07-10,11.02,11.14,10.27,10.75
AR,2021-07-11,10.75,11.5,10.54,11.24
AR,2021-07-12,11.24,11.43,10.42,10.59
AR,2021-07-13,10.59,10.63,9.933,10.2
AR,2021-07-14,10.2,10.54,9.663,10.01
AR,2021-07-15,10.01,10.24,9.236,9.373
AR,2021-07-16,9.373,9.672,8.75,8.78
AR,2021-07-17,8.78,8.917,8.185,8.677
AR,2021-07-18,8.677,10.38,8.642,9.011
AR,2021-07-19,9.011,9.036,8.012,8.188
AR,2021-07-20,8.188,8.208,7.218,7.223
AR,2021-07-21,7.223,8.646,7.126,8.251
AR,2021-07-22,8.251,8.728,7.933,8.498
AR,2021-07-23,8.498,8.944,8.192,8.918
AR,2021-07-24,8.918,9.075,8.769,8.923
AR,2021-07-25,8.923,10.93,8.814,10.04
AR,2021-07-26,10.04,10.85,9.198,9.322
AR,2021-07-27,9.322,10.18,8.946,9.949
AR,2021-07-28,9.949,12.27,9.776,11.19
AR,2021-07-29,11.19,11.31,10.59,11.16
AR,2021-07-30,11.16,11.37,10.43,11.26
AR,2021-07-31,11.26,11.94,10.94,11.73
AR,2021-08-01,11.73,13.55,11.47,11.54
AR,2021-08-02,11.54,11.91,11.27,11.54
AR,2021-08-03,11.54,11.68,10.71,10.93
AR,2021-08-04,10.93,11.94,10.86,11.39
AR,2021-08-05,11.39,11.56,10.73,11.52
AR,2021-08-06,11.52,13.4,11.06,12.66
AR,2021-08-07,12.66,14.92,12.64,13.83
AR,2021-08-08,13.83,16.45,13.37,14.91
AR,2021-08-09,14.91,15.83,14.08,15.0
AR,2021-08-10,15.0,15.23,14.34,14.95
AR,2021-08-11,14.95,15.99,14.88,14.94
AR,2021-08-12,15.05,15.12,13.9,14.8
AR,2021-08-13,14.8,16.5,14.64,16.13
AR,2021-08-14,16.13,16.47,15.18,15.65
AR,2021-08-15,15.65,16.86,15.19,16.82
AR,2021-08-16,16.82,24.56,16.69,19.72
AR,2021-08-17,19.72,24.71,18.88,22.09
AR,2021-08-18,22.09,35.91,21.59,33.46
AR,2021-08-19,33.46,35.65,27.86,30.26
AR,2021-08-20,30.26,32.97,28.87,31.06
AR,2021-08-21,31.06,31.12,27.82,28.3
AR,2021-08-22,28.3,31.72,27.95,28.99
AR,2021-08-23,28.99,33.43,28.95,30.83
AR,2021-08-24,30.83,31.13,27.91,27.99
AR,2021-08-25,27.99,28.97,24.13,26.94
AR,2021-08-26,26.94,26.98,23.59,25.67
AR,2021-08-27,25.67,42.51,24.69,38.55
AR,2021-08-28,38.55,47.97,35.63,47.6
AR,2021-08-29,47.6,50.0,42.42,42.58
AR,2021-08-30,42.58,61.45,38.96,56.62
AR,2021-08-31,56.62,69.94,54.33,66.08
AR,2021-09-01,66.08,68.41,57.26,61.55
AR,2021-09-02,61.55,62.3,55.72,56.88
AR,2021-09-03,56.88,63.57,55.42,58.72
AR,2021-09-04,58.72,59.64,52.86,53.2
AR,2021-09-05,53.2,57.33,48.69,49.99
AR,2021-09-06,49.99,63.24,49.47,57.0
AR,2021-09-07,57.0,57.34,42.52,47.63
AR,2021-09-08,47.63,60.44,46.73,54.84
AR,2021-09-09,54.84,71.9,54.3,64.99
AR,2021-09-10,64.99,74.23,58.62,62.53
AR,2021-09-11,62.53,65.08,60.08,61.06
AR,2021-09-12,61.06,62.94,58.68,59.84
AR,2021-09-13,59.84,59.84,50.31,54.24
AR,2021-09-14,54.24,57.66,53.23,55.4
AR,2021-09-15,55.4,58.97,54.16,57.29
AR,2021-09-16,57.29,58.04,52.52,53.02
AR,2021-09-17,53.02,53.35,47.93,48.9
AR,2021-09-18,48.9,53.05,48.0,49.58
AR,2021-09-19,49.58,54.23,48.07,49.7
AR,2021-09-20,49.7,50.89,39.68,40.28
AR,2021-09-21,40.28,42.87,34.31,36.95
AR,2021-09-22,36.95,48.37,36.38,46.94
AR,2021-09-23,46.94,54.86,46.72,52.35
AR,2021-09-24,52.35,52.61,43.48,47.59
AR,2021-09-25,47.59,47.88,44.7,44.97
AR,2021-09-26,44.97,45.42,40.96,43.28
AR,2021-09-27,43.28,46.14,40.85,40.92
AR,2021-09-28,40.92,41.61,38.13,38.28
AR,2021-09-29,38.28,44.88,38.07,40.63
AR,2021-09-30,40.63,43.61,40.26,43.34
AR,2021-10-01,43.34,49.13,42.61,48.86
AR,2021-10-02,48.86,58.35,46.54,58.22
AR,2021-10-03,58.22,58.94,54.39,57.54
AR,2021-10-04,57.54,57.74,51.78,52.99
AR,2021-10-05,52.99,55.64,51.87,53.24
AR,2021-10-06,53.24,67.05,48.12,64.52
AR,2021-10-07,64.52,67.03,58.75,58.9
AR,2021-10-08,58.9,69.74,58.63,62.54
AR,2021-10-09,62.54,64.56,59.84,61.12
AR,2021-10-10,61.12,62.7,57.76,57.94
AR,2021-10-11,57.94,64.01,56.09,58.22
AR,2021-10-12,58.22,58.22,51.84,54.48
AR,2021-10-13,54.48,55.37,50.72,52.96
AR,2021-10-14,52.96,54.84,51.89,52.4
AR,2021-10-15,52.4,53.96,50.95,53.91
AR,2021-10-16,53.91,56.79,51.54,51.68
AR,2021-10-17,51.68,52.95,49.4,51.52
AR,2021-10-18,51.52,52.86,48.63,50.72
AR,2021-10-19,50.72,55.46,50.17,54.84
AR,2021-10-20,54.84,56.85,53.39,56.54
AR,2021-10-21,56.54,57.99,52.91,53.37
AR,2021-10-22,53.37,56.35,53.2,54.6
AR,2021-10-23,54.6,54.74,51.48,52.75
AR,2021-10-24,52.75,53.03,49.12,51.35
AR,2021-10-25,51.35,54.69,51.06,52.89
AR,2021-10-26,52.89,55.3,51.67,53.35
AR,2021-10-27,53.35,57.33,46.25,46.51
AR,2021-10-28,46.51,49.04,45.7,47.58
AR,2021-10-29,47.58,54.51,47.4,51.96
AR,2021-10-30,51.96,52.8,48.7,48.98
AR,2021-10-31,48.98,60.39,48.98,54.91
AR,2021-11-01,54.91,56.86,50.6,53.29
AR,2021-11-02,53.29,75.94,53.21,74.97
AR,2021-11-03,74.97,88.86,69.26,76.43
AR,2021-11-04,76.43,87.65,69.41,85.71
AR,2021-11-05,85.71,91.02,73.91,75.54
AR,2021-11-06,75.54,84.11,71.78,82.4
AR,2021-11-07,82.4,85.69,75.87,76.36
AR,2021-11-08,76.36,79.83,74.18,78.89
AR,2021-11-09,78.89,79.6,71.75,72.56
AR,2021-11-10,72.56,77.59,65.29,70.78
AR,2021-11-11,70.78,72.49,65.84,67.41
AR,2021-11-12,67.41,70.96,63.68,68.8
AR,2021-11-13,68.8,74.33,66.22,73.46
AR,2021-11-14,73.46,74.51,67.75,70.17
AR,2021-11-15,70.17,71.26,65.52,65.74
AR,2021-11-16,65.74,65.74,55.37,60.99
AR,2021-11-17,60.99,62.16,55.92,56.93
AR,2021-11-18,56.93,57.88,51.12,53.54
AR,2021-11-19,53.54,63.9,53.17,59.77
AR,2021-11-20,59.77,66.61,59.3,65.2
AR,2021-11-21,65.2,73.08,64.35,64.42
AR,2021-11-22,64.42,64.51,58.54,59.89
AR,2021-11-23,59.89,62.29,58.67,60.74
AR,2021-11-24,60.79,61.09,55.8391,57.8577
AR,2021-11-25,57.7225,63.0717,57.7225,60.0426
AR,2021-11-26,60.0509,66.3507,52.0128,54.8891
AR,2021-11-27,54.9642,64.9616,53.4521,58.1945
AR,2021-11-28,58.1008,59.1662,52.1162,56.6852
AR,2021-11-29,56.2178,62.6022,55.1569,61.3528
AR,2021-11-30,61.1403,63.0074,57.6431,59.6117
AR,2021-12-01,59.8656,61.5884,56.5129,57.2317
AR,2021-12-02,57.3155,59.8959,55.2918,56.3377
